Timestamp,Face Confidence,Mouth Open,Eye Blink Left,Eye Blink Right,Eye Look Left,Eye Look Right,Head X,Head Y,Head Z,Detected Expression,Detected Movement
1767367084707,2,100,0,0,74745.42236328125,55959.102630615234,0,0,0,Tristesse,AUCUN
1767367084822,2,0,0,0,0,0,325.2513122558594,372.00748443603516,-9.485862255096436,Tristesse,EXPRESSION_TRISTESSE
1767367084822,2,100,0,0,74745.42236328125,55959.102630615234,0,0,0,Tristesse,AUCUN
1767367084823,1,0,0,0,0,0,325.8211898803711,372.1573734283447,-8.536126017570496,Tristesse,EXPRESSION_TRISTESSE
1767367084823,1,100,0,0,74670.35675048828,56016.67022705078,0,0,0,Tristesse,AUCUN
1767367084939,1,0,0,0,0,0,325.8211898803711,372.1573734283447,-8.536126017570496,Tristesse,EXPRESSION_TRISTESSE
1767367084939,1,100,0,0,74670.35675048828,56016.67022705078,0,0,0,Tristesse,AUCUN
1767367084939,1,0,0,0,0,0,332.0085906982422,376.01085662841797,-9.908735752105713,Tristesse,EXPRESSION_TRISTESSE
1767367084939,1,100,0,0,74736.94610595703,55785.35079956055,0,0,0,Tristesse,AUCUN
1767367085037,1,0,0,0,0,0,332.0085906982422,376.01085662841797,-9.908735752105713,Tristesse,EXPRESSION_TRISTESSE
1767367085037,1,100,0,0,74736.94610595703,55785.35079956055,0,0,0,Tristesse,AUCUN
1767367085038,1,0,0,0,0,0,328.28418731689453,376.16246223449707,-10.00598669052124,Tristesse,EXPRESSION_TRISTESSE
1767367085038,1,100,0,0,74595.42846679688,55358.665466308594,0,0,0,Tristesse,AUCUN
1767367085137,1,0,0,0,0,0,328.28418731689453,376.16246223449707,-10.00598669052124,Tristesse,EXPRESSION_TRISTESSE
1767367085137,1,100,0,0,74595.42846679688,55358.665466308594,0,0,0,Tristesse,AUCUN
1767367085137,1,0,0,0,0,0,327.27561950683594,374.2034339904785,-10.75657606124878,Tristesse,EXPRESSION_TRISTESSE
1767367085137,1,100,0,0,74833.44268798828,55610.61096191406,0,0,0,Tristesse,AUCUN
