Timestamp,Pose Confidence,Head X,Head Y,Head Z,Head Confidence,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Left Shoulder Confidence,Right Shoulder X,Right Shoulder Y,Right Shoulder Z,Right Shoulder Confidence,Left Hip X,Left Hip Y,Left Hip Z,Left Hip Confidence,Right Hip X,Right Hip Y,Right Hip Z,Right Hip Confidence,Face Confidence,Mouth Open,Eye Blink Left,Eye Blink Right,Eye Look Left,Eye Look Right,Head Position X,Head Position Y,Head Position Z,Left Hand Gesture,Left Hand Confidence,Left Hand Landmarks,Right Hand Gesture,Right Hand Confidence,Right Hand Landmarks
1766351500168,85.0,0.5,0.2,0.0,90.0,0.4,0.35,0.1,88.0,0.6,0.35,0.1,87.0,0.45,0.65,0.1,85.0,0.55,0.65,0.1,84.0,92.0,10.0,5.0,3.0,0.1,-0.2,0.5,0.2,0.0,Open,0,21,Closed,0,21
1766351500268,85.5,0.51,0.195,0.0,90.3,0.405,0.348,0.1,88.2,0.595,0.352,0.1,87.2,0.453,0.649,0.1,85.1,0.547,0.651,0.1,84.1,91.8,12.0,4.7,3.2,0.10500000000000001,-0.203,0.502,0.199,0.0,Closed,0,21,Open,0,21
1766351500368,86.0,0.52,0.19,0.0,90.6,0.41000000000000003,0.346,0.1,88.4,0.59,0.354,0.1,87.4,0.456,0.648,0.1,85.2,0.544,0.652,0.1,84.2,91.6,14.0,4.4,3.4,0.11000000000000001,-0.20600000000000002,0.504,0.198,0.0,Open,0,21,Closed,0,21
1766351500468,86.5,0.53,0.185,0.0,90.9,0.41500000000000004,0.344,0.1,88.6,0.585,0.356,0.1,87.6,0.459,0.647,0.1,85.3,0.541,0.653,0.1,84.3,91.4,16.0,4.1,3.6,0.115,-0.20900000000000002,0.506,0.197,0.0,Closed,0,21,Open,0,21
1766351500568,87.0,0.54,0.18,0.0,91.2,0.42000000000000004,0.34199999999999997,0.1,88.8,0.58,0.358,0.1,87.8,0.462,0.646,0.1,85.4,0.538,0.654,0.1,84.4,91.2,18.0,3.8,3.8,0.12000000000000001,-0.21200000000000002,0.508,0.196,0.0,Open,0,21,Closed,0,21
1766351500668,87.5,0.55,0.17500000000000002,0.0,91.5,0.42500000000000004,0.33999999999999997,0.1,89.0,0.575,0.36,0.1,88.0,0.465,0.645,0.1,85.5,0.535,0.655,0.1,84.5,91.0,20.0,3.5,4.0,0.125,-0.21500000000000002,0.51,0.195,0.0,Closed,0,21,Open,0,21
1766351500768,88.0,0.56,0.17,0.0,91.8,0.43000000000000005,0.33799999999999997,0.1,89.2,0.57,0.362,0.1,88.2,0.468,0.644,0.1,85.6,0.532,0.656,0.1,84.6,90.8,22.0,3.2,4.2,0.13,-0.218,0.512,0.194,0.0,Open,0,21,Closed,0,21
1766351500868,88.5,0.57,0.165,0.0,92.1,0.435,0.33599999999999997,0.1,89.4,0.565,0.364,0.1,88.4,0.47100000000000003,0.643,0.1,85.7,0.529,0.657,0.1,84.7,90.6,24.0,2.9000000000000004,4.4,0.135,-0.221,0.514,0.193,0.0,Closed,0,21,Open,0,21
1766351500968,89.0,0.5800000000000001,0.16,0.0,92.4,0.44000000000000006,0.33399999999999996,0.1,89.6,0.5599999999999999,0.366,0.1,88.6,0.47400000000000003,0.642,0.1,85.8,0.526,0.658,0.1,84.8,90.4,26.0,2.5999999999999996,4.6,0.14,-0.224,0.516,0.192,0.0,Open,0,21,Closed,0,21
1766351501068,89.5,0.59,0.155,0.0,92.7,0.445,0.33199999999999996,0.1,89.8,0.5549999999999999,0.368,0.1,88.8,0.47700000000000004,0.641,0.1,85.9,0.523,0.659,0.1,84.9,90.2,28.0,2.3,4.8,0.14500000000000002,-0.227,0.518,0.191,0.0,Closed,0,21,Open,0,21
